V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38
1,63E-301;Yes;Yes;1;1;1;1;1;1;4;6;5;3;1;2;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat unfavorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat unfavorably;Neither favorably nor unfavorably (neutral);Very unfavorably;Very unfavorably;Somewhat favorably;Han;Yes;Yes;Yes;Male;18-29;$0 - $24,999;Some college or Associate degree;West South Central
1,63E-300;Yes;Yes;0;0;0;1;0;0;4;1;2;3;5;6;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat unfavorably;Neither favorably nor unfavorably (neutral);Very unfavorably;Somewhat favorably;Somewhat unfavorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat unfavorably;Neither favorably nor unfavorably (neutral);Somewhat unfavorably;Very unfavorably;Han;Yes;Yes;No;Male;18-29;$50,000 - $99,999;Bachelor degree;New England
1,63E-300;Yes;Yes;1;1;1;0;0;1;1;2;3;4;5;6;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Greedo;No;;No;Male;18-29;;Some college or Associate degree;Middle Atlantic
1,63E-301;Yes;Yes;1;1;1;1;1;1;6;5;2;3;1;4;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very unfavorably;Somewhat unfavorably;Very favorably;Han;No;;No;Male;18-29;;High school degree;South Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;1;4;3;2;Very favorably;Somewhat favorably;Very favorably;Very favorably;Somewhat favorably;Somewhat unfavorably;Very favorably;Very unfavorably;Very favorably;Somewhat favorably;Very favorably;Somewhat unfavorably;Very favorably;Very favorably;Greedo;No;;Yes;Male;18-29;$50,000 - $99,999;Some college or Associate degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;1;2;3;Very favorably;Very favorably;Somewhat favorably;Somewhat favorably;Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Neither favorably nor unfavorably (neutral);Very favorably;Somewhat favorably;Somewhat favorably;Very unfavorably;Neither favorably nor unfavorably (neutral);Very favorably;Han;No;;No;Male;18-29;;Some college or Associate degree;Pacific
1,63E-301;Yes;No;1;1;1;1;1;0;3;4;5;1;2;6;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);I don't understand this question;No;;No;Male;18-29;;Bachelor degree;Pacific
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;3;1;2;Very favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Very unfavorably;Somewhat favorably;Somewhat favorably;Somewhat unfavorably;Very favorably;Very favorably;Very unfavorably;Neither favorably nor unfavorably (neutral);Very favorably;Greedo;Yes;Yes;Yes;Male;18-29;$50,000 - $99,999;Bachelor degree;South Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;1;4;2;3;5;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat unfavorably;Somewhat favorably;Somewhat favorably;Very favorably;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Somewhat favorably;Very favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Very favorably;Han;No;;No;Male;18-29;$0 - $24,999;Bachelor degree;Pacific
1,63E-300;Yes;Yes;1;1;1;1;1;1;1;2;6;3;4;5;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Han;No;;No;Male;18-29;;;East North Central
1,63E-300;No;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Yes;Male;18-29;$0 - $24,999;High school degree;East South Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;6;5;2;3;1;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very unfavorably;Somewhat favorably;Very favorably;Greedo;Yes;No;No;Male;18-29;$100,000 - $149,999;Some college or Associate degree;South Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;2;3;1;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Very unfavorably;Very unfavorably;Somewhat favorably;Somewhat unfavorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Greedo;No;;No;Male;18-29;;Some college or Associate degree;Middle Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;2;1;3;Very favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Very unfavorably;Very unfavorably;Very unfavorably;Very favorably;Very favorably;Somewhat favorably;Very unfavorably;Somewhat unfavorably;Very unfavorably;Very unfavorably;Very favorably;Han;Yes;No;No;Male;18-29;;Some college or Associate degree;Middle Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;6;5;2;1;3;Very favorably;Very favorably;Very favorably;Very unfavorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Unfamiliar (N/A);Very unfavorably;Very favorably;Han;Yes;Yes;Yes;Male;18-29;$150,000+;Some college or Associate degree;East North Central
1,63E-300;Yes;No;1;1;1;1;1;1;4;3;5;6;2;1;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Somewhat favorably;Unfamiliar (N/A);Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat unfavorably;Unfamiliar (N/A);Somewhat favorably;I don't understand this question;No;;No;Male;30-44;$0 - $24,999;High school degree;New England
1,63E-301;Yes;Yes;1;1;1;1;1;1;6;5;4;2;1;3;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very unfavorably;Very favorably;Very favorably;Han;Yes;Yes;Yes;Male;30-44;$50,000 - $99,999;Some college or Associate degree;West North Central
1,63E-300;Yes;No;1;1;1;1;1;1;6;1;2;3;4;5;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Han;No;;No;Male;18-29;;;Middle Atlantic
1,63E-300;Yes;No;0;1;1;0;0;0;6;1;2;3;4;5;;;;;;;;;;;;;;;Han;No;;No;Male;18-29;$50,000 - $99,999;High school degree;Mountain
1,63E-300;No;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Yes;Male;30-44;$50,000 - $99,999;Graduate degree;East South Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;3;4;1;2;5;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Very favorably;Very favorably;Very favorably;Very unfavorably;Very favorably;Very favorably;Han;No;;No;Male;30-44;$150,000+;Graduate degree;East North Central
1,63E-301;Yes;Yes;1;1;1;1;1;1;3;2;1;4;6;5;Somewhat favorably;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Very favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Greedo;No;;No;Male;18-29;$0 - $24,999;Bachelor degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;2;4;5;1;6;3;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat unfavorably;Very unfavorably;Neither favorably nor unfavorably (neutral);Somewhat unfavorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat favorably;Han;No;;No;Male;18-29;;Some college or Associate degree;Pacific
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;3;5;1;4;2;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat favorably;Han;Yes;No;Yes;Male;30-44;$50,000 - $99,999;Bachelor degree;Middle Atlantic
1,63E-301;Yes;Yes;1;1;1;1;1;1;4;5;6;3;2;1;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat unfavorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Very favorably;Greedo;Yes;Yes;Yes;Male;30-44;$0 - $24,999;High school degree;West North Central
1,63E-301;Yes;Yes;1;1;1;1;1;1;5;6;2;3;4;1;Very favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Somewhat favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Very favorably;Very unfavorably;Neither favorably nor unfavorably (neutral);Very favorably;Han;No;;Yes;Male;30-44;$100,000 - $149,999;Graduate degree;Middle Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;2;1;3;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Han;Yes;Yes;No;Male;30-44;$100,000 - $149,999;Graduate degree;Pacific
1,63E-301;Yes;Yes;1;1;1;1;1;1;5;6;4;2;1;3;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Somewhat unfavorably;Somewhat favorably;Very unfavorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Greedo;Yes;Yes;No;Male;18-29;$25,000 - $49,999;Bachelor degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;2;1;3;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Somewhat favorably;Very favorably;Very favorably;Very unfavorably;Very favorably;Very favorably;Han;Yes;Yes;Yes;Male;18-29;$150,000+;Bachelor degree;Pacific
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;6;4;3;2;1;Very favorably;Very favorably;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat unfavorably;Somewhat favorably;Han;Yes;No;No;Male;18-29;$25,000 - $49,999;High school degree;New England
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;2;1;3;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very unfavorably;Very favorably;Very favorably;Han;No;;No;Male;18-29;;Some college or Associate degree;West North Central
1,63E-300;No;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;No;Male;18-29;$0 - $24,999;High school degree;Pacific
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;4;6;3;1;2;Very favorably;Very favorably;Very favorably;Somewhat unfavorably;Very favorably;Very unfavorably;Very unfavorably;Somewhat unfavorably;Very unfavorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Han;Yes;Yes;Yes;Male;30-44;$50,000 - $99,999;Some college or Associate degree;West North Central
1,63E-300;Yes;No;1;1;1;1;1;1;6;5;4;1;2;3;Very favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Unfamiliar (N/A);Somewhat unfavorably;Unfamiliar (N/A);Somewhat unfavorably;Somewhat favorably;Somewhat favorably;Very unfavorably;Neither favorably nor unfavorably (neutral);Very favorably;Greedo;No;;No;Male;18-29;$50,000 - $99,999;Some college or Associate degree;Pacific
1,63E-300;No;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Yes;Male;30-44;$50,000 - $99,999;Graduate degree;Pacific
1,63E-300;Yes;Yes;1;0;0;1;1;1;4;6;5;3;1;2;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Very unfavorably;Somewhat favorably;Very favorably;Greedo;No;;Yes;Male;18-29;$50,000 - $99,999;Bachelor degree;Mountain
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;4;5;3;1;2;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Very favorably;Somewhat favorably;Somewhat unfavorably;Somewhat favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Very favorably;Han;Yes;No;No;Male;18-29;;High school degree;South Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;5;1;6;2;3;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Somewhat favorably;Somewhat favorably;Very favorably;Somewhat favorably;Somewhat favorably;Very favorably;I don't understand this question;No;;Yes;Male;30-44;$50,000 - $99,999;Some college or Associate degree;West South Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;6;4;2;1;3;Very favorably;Very favorably;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat unfavorably;Very unfavorably;Somewhat favorably;Han;Yes;No;No;Male;18-29;$25,000 - $49,999;High school degree;New England
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;2;1;3;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Unfamiliar (N/A);Neither favorably nor unfavorably (neutral);Somewhat favorably;Greedo;No;;No;Male;18-29;$100,000 - $149,999;Some college or Associate degree;Mountain
1,63E-300;No;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;No;Male;18-29;;High school degree;West South Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;6;5;2;1;3;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very unfavorably;Somewhat favorably;Very favorably;Han;No;;No;Male;18-29;$150,000+;Bachelor degree;West South Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;4;5;3;1;2;Very favorably;Somewhat favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Very favorably;Somewhat favorably;Very unfavorably;Somewhat unfavorably;Somewhat favorably;Han;No;;Yes;Male;18-29;$50,000 - $99,999;Graduate degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;4;5;3;1;2;Very favorably;Very favorably;Very favorably;Very unfavorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very unfavorably;Very favorably;Very favorably;Han;Yes;Yes;No;Male;18-29;$0 - $24,999;High school degree;New England
1,63E-300;Yes;No;1;1;0;1;1;1;5;4;6;1;3;2;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Unfamiliar (N/A);Very unfavorably;Unfamiliar (N/A);Very favorably;Somewhat unfavorably;Very favorably;Very unfavorably;Somewhat favorably;Somewhat favorably;I don't understand this question;No;;No;Male;18-29;$50,000 - $99,999;Bachelor degree;Pacific
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;6;2;3;1;4;Very favorably;Very favorably;Very favorably;Somewhat unfavorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Very favorably;Somewhat unfavorably;Very favorably;Very unfavorably;Somewhat favorably;Unfamiliar (N/A);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Greedo;Yes;No;No;Male;18-29;$150,000+;Bachelor degree;Pacific
1,63E-300;Yes;Yes;0;0;0;1;0;0;1;2;3;4;5;6;;Somewhat unfavorably;Somewhat favorably;;Somewhat unfavorably;;;;;;;;;;Greedo;No;;Yes;Male;30-44;$100,000 - $149,999;Graduate degree;Pacific
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;5;6;2;1;3;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Very favorably;Han;Yes;Yes;No;Male;18-29;$100,000 - $149,999;Some college or Associate degree;New England
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;2;1;3;Very favorably;Very favorably;Very favorably;Somewhat unfavorably;Very favorably;Very unfavorably;Somewhat unfavorably;Somewhat unfavorably;Somewhat unfavorably;Very favorably;Very favorably;Very unfavorably;Somewhat favorably;Very favorably;Greedo;No;;No;Male;30-44;$50,000 - $99,999;Some college or Associate degree;Pacific
1,63E-300;Yes;No;1;1;1;1;1;1;1;2;3;4;5;6;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Unfamiliar (N/A);Very favorably;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Somewhat favorably;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Somewhat favorably;I don't understand this question;No;;No;Male;18-29;$0 - $24,999;Some college or Associate degree;Pacific
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;2;1;3;Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat unfavorably;Very favorably;Somewhat favorably;Very favorably;Somewhat favorably;Very favorably;Somewhat unfavorably;Somewhat favorably;Very favorably;Han;Yes;Yes;Yes;Male;18-29;$150,000+;Some college or Associate degree;East South Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;1;5;3;4;2;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Somewhat unfavorably;Somewhat favorably;Very favorably;Greedo;Yes;Yes;No;Male;18-29;$50,000 - $99,999;Some college or Associate degree;South Atlantic
1,63E-300;Yes;No;1;1;1;1;1;1;6;5;2;4;3;1;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Unfamiliar (N/A);Very favorably;Unfamiliar (N/A);Somewhat favorably;Somewhat favorably;Somewhat favorably;Very unfavorably;Unfamiliar (N/A);Somewhat favorably;I don't understand this question;No;;No;Male;18-29;$25,000 - $49,999;Graduate degree;East South Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;6;4;2;1;3;Very favorably;Somewhat favorably;Somewhat favorably;Very unfavorably;Very favorably;Very favorably;Very favorably;Very favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Neither favorably nor unfavorably (neutral);Very unfavorably;Somewhat unfavorably;Somewhat favorably;Han;Yes;Yes;Yes;Male;18-29;$25,000 - $49,999;Some college or Associate degree;East South Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;5;3;6;2;1;Very favorably;Very favorably;Very favorably;Somewhat unfavorably;;Somewhat favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Very unfavorably;;Very favorably;Very favorably;Greedo;No;;Yes;Male;30-44;$100,000 - $149,999;Graduate degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;4;5;2;1;3;Very favorably;Somewhat favorably;Very favorably;Somewhat unfavorably;Very favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat favorably;Somewhat favorably;Very favorably;Very favorably;Unfamiliar (N/A);Somewhat unfavorably;Somewhat favorably;Han;No;;Yes;Male;30-44;$50,000 - $99,999;Graduate degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;6;5;4;3;2;1;Very favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Somewhat favorably;Neither favorably nor unfavorably (neutral);Somewhat favorably;Somewhat favorably;Very favorably;Very unfavorably;Somewhat favorably;Very favorably;Han;No;;Yes;Male;18-29;$100,000 - $149,999;Bachelor degree;West North Central
1,63E-300;Yes;Yes;1;1;1;1;1;1;5;6;2;4;1;3;Very favorably;Very favorably;Very favorably;Somewhat favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very unfavorably;Very favorably;Very favorably;Greedo;Yes;No;Yes;Male;18-29;$100,000 - $149,999;Graduate degree;South Atlantic
1,63E-300;Yes;Yes;1;1;1;1;1;1;4;5;6;1;2;3;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Neither favorably nor unfavorably (neutral);Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Very favorably;Greedo;No;;Yes;Male;18-29;$25,000 - $49,999;Bachelor degree;Middle Atlantic
